issue_id,result_id,source_row_id,transaction_id,rule_id,issue_date,status,severity,issue_value,expected_value,issue_description
24af52e9-1d04-41f5-98db-a02c048c56ab,cf9ab7e4-bd04-41c2-8f45-60fc09e677b5,659,TRX000660,DQ-CN01,2025-01-01,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
ee338385-bd4d-4857-b4eb-ce39df7a988e,cf9ab7e4-bd04-41c2-8f45-60fc09e677b5,19620,TRX019621,DQ-CN01,2025-01-01,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
9842e9e2-c6d5-4a0e-8561-c5712e62b0b4,cf9ab7e4-bd04-41c2-8f45-60fc09e677b5,23669,TRX023670,DQ-CN01,2025-01-01,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
25dc6991-38aa-4ab2-95a0-1fb1103576c5,cf9ab7e4-bd04-41c2-8f45-60fc09e677b5,40820,TRX040821,DQ-CN01,2025-01-01,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
f2a0f87e-0c6a-4ddb-a83a-9b77b5d2fc62,cf9ab7e4-bd04-41c2-8f45-60fc09e677b5,47647,TRX047648,DQ-CN01,2025-01-01,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
dd3d0888-5904-41d5-a767-e02bf8273e78,cf9ab7e4-bd04-41c2-8f45-60fc09e677b5,51078,TRX051079,DQ-CN01,2025-01-01,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
118a9ab9-ee74-4a4f-9589-d9eaf3a1cf15,cf9ab7e4-bd04-41c2-8f45-60fc09e677b5,52634,TRX052635,DQ-CN01,2025-01-01,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
e13653a0-831c-4984-b324-2f027079e3f2,cf9ab7e4-bd04-41c2-8f45-60fc09e677b5,83422,TRX083423,DQ-CN01,2025-01-01,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
ec823fa3-ac4f-48fe-adea-4ca5557d3449,cf9ab7e4-bd04-41c2-8f45-60fc09e677b5,98303,TRX098304,DQ-CN01,2025-01-01,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
f5ab9cbe-5cfb-488b-9e1e-6f181f4769c8,d6e7cfb6-3704-4284-84cc-e411c75eaf89,18121,TRX018122,DQ-CN01,2025-01-02,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
0d8c6a49-7e44-4a81-bcca-76a59cd7cd22,d6e7cfb6-3704-4284-84cc-e411c75eaf89,26438,TRX026439,DQ-CN01,2025-01-02,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
6e8abf66-77e0-4e5f-98ef-d9a8c873906b,d6e7cfb6-3704-4284-84cc-e411c75eaf89,43300,TRX043301,DQ-CN01,2025-01-02,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
a9236ae5-103f-40c8-88ae-d74917f15ec0,fda5a197-75b8-4bbb-8040-f59278afceaa,7230,TRX007231,DQ-CN01,2025-01-03,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
167daaf0-b7ab-4d38-a8f3-e590f6fd79c0,fda5a197-75b8-4bbb-8040-f59278afceaa,18619,TRX018620,DQ-CN01,2025-01-03,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
ce0e90b1-dcf6-42bf-a07e-060f2302e749,fda5a197-75b8-4bbb-8040-f59278afceaa,56221,TRX056222,DQ-CN01,2025-01-03,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
95639b8e-7c42-4d95-b631-59104a8a1f99,15e4fb4c-c9ea-4b1a-b6ef-49cfbc5fc941,27316,TRX027317,DQ-CN01,2025-01-04,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
209d6f37-9772-4b71-96e0-871b17117bc0,15e4fb4c-c9ea-4b1a-b6ef-49cfbc5fc941,65946,TRX065947,DQ-CN01,2025-01-04,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
8f33eb7d-7a59-4feb-8ba1-41112e79b525,15e4fb4c-c9ea-4b1a-b6ef-49cfbc5fc941,79923,TRX079924,DQ-CN01,2025-01-04,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
413e4ab0-f2ad-4b98-a02c-0183e5574529,15e4fb4c-c9ea-4b1a-b6ef-49cfbc5fc941,89915,TRX089916,DQ-CN01,2025-01-04,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
80afdf6d-d7eb-4930-8df1-f0e98cf3a3b6,1ff83639-9733-4c27-b7c3-85e7dcaa2b7c,22501,TRX022502,DQ-CN01,2025-01-05,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
b4a64bec-6b6f-4989-bc5b-3b3314f4bd24,1ff83639-9733-4c27-b7c3-85e7dcaa2b7c,22845,TRX022846,DQ-CN01,2025-01-05,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
2bb1867a-aa5d-4341-bd13-04b187b087be,1ff83639-9733-4c27-b7c3-85e7dcaa2b7c,42881,TRX042882,DQ-CN01,2025-01-05,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
86dc3ed5-d6d3-42f7-b073-49fd592a8088,1ff83639-9733-4c27-b7c3-85e7dcaa2b7c,73493,TRX073494,DQ-CN01,2025-01-05,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
d3d44517-2997-4550-bda8-e5e1f38a6138,1ff83639-9733-4c27-b7c3-85e7dcaa2b7c,76738,TRX076739,DQ-CN01,2025-01-05,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
60bcf1bc-a886-4d11-ae1f-992b98133a80,5f21f4f9-eb9e-4ce2-a1e3-ff909a255dce,22420,TRX022421,DQ-CN01,2025-01-06,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
e8fa69f7-f4c5-4512-8f27-d1f7edc535fd,5f21f4f9-eb9e-4ce2-a1e3-ff909a255dce,76373,TRX076374,DQ-CN01,2025-01-06,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
e600214e-65ae-48de-9142-2696fbfeea57,c02d14ce-28da-4a19-961a-11c5eff5cee9,8295,TRX008296,DQ-CN01,2025-01-07,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
6c29249a-1433-48ac-9dfb-33eaa44b1ed8,c02d14ce-28da-4a19-961a-11c5eff5cee9,13549,TRX013550,DQ-CN01,2025-01-07,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
af8a2e3e-97aa-452d-9667-84a85acf32cd,c02d14ce-28da-4a19-961a-11c5eff5cee9,50394,TRX050395,DQ-CN01,2025-01-07,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
a9cc191d-f3bd-4fcd-892d-de48c6786387,c02d14ce-28da-4a19-961a-11c5eff5cee9,61696,TRX061697,DQ-CN01,2025-01-07,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
70ac21ec-fb23-4db7-a36d-d6ef77c09aa2,c02d14ce-28da-4a19-961a-11c5eff5cee9,89683,TRX089684,DQ-CN01,2025-01-07,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
e1838a6f-c35c-4e99-9d23-e72dddcb3182,a4dac5d6-29c3-433d-ab9a-908622eee329,18804,TRX018805,DQ-CN01,2025-01-08,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
1867c5c1-2459-4568-b1db-4036ebb4fe08,a4dac5d6-29c3-433d-ab9a-908622eee329,19497,TRX019498,DQ-CN01,2025-01-08,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
f24f5071-5b29-4dc4-a61c-5729ed914e91,a4dac5d6-29c3-433d-ab9a-908622eee329,83916,TRX083917,DQ-CN01,2025-01-08,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
eca6db63-41a6-487d-8a5c-64a01356829d,79c439a6-f674-4405-8b19-017a947623a4,898,TRX000899,DQ-CN01,2025-01-09,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
6821878a-51bd-40a6-87c8-67a699b46786,79c439a6-f674-4405-8b19-017a947623a4,54538,TRX054539,DQ-CN01,2025-01-09,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
23393bc7-cb8b-458f-97ec-85d806de9a5e,410e6c58-5236-40bf-b167-7652b2a676ef,31830,TRX031831,DQ-CN01,2025-01-10,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
bc3c6039-c042-4a9d-a96b-bedc47f3f369,410e6c58-5236-40bf-b167-7652b2a676ef,39448,TRX039449,DQ-CN01,2025-01-10,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
9852adb5-f193-464b-a753-cdf8054647db,410e6c58-5236-40bf-b167-7652b2a676ef,41759,TRX041760,DQ-CN01,2025-01-10,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
4c303ddf-06fe-4c83-9d46-0af25aff5129,410e6c58-5236-40bf-b167-7652b2a676ef,65376,TRX065377,DQ-CN01,2025-01-10,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
c716a8e7-4884-4797-a596-27d6fc9c98eb,410e6c58-5236-40bf-b167-7652b2a676ef,65989,TRX065990,DQ-CN01,2025-01-10,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
880ccdea-e168-4667-ae03-9a4612fba342,410e6c58-5236-40bf-b167-7652b2a676ef,93199,TRX093200,DQ-CN01,2025-01-10,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
c2fd479b-4dfc-4808-8a15-8b4ef1cddc09,bb6edd81-1161-4a42-9880-7617b7a1c941,6364,TRX006365,DQ-CN01,2025-01-11,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
05cc03f3-e51d-4f05-803b-ffc1afe50a35,bb6edd81-1161-4a42-9880-7617b7a1c941,65465,TRX065466,DQ-CN01,2025-01-11,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
5a31f367-c0b1-458e-bbcb-82e6b9015a90,bb6edd81-1161-4a42-9880-7617b7a1c941,97720,TRX097721,DQ-CN01,2025-01-11,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
58d2e056-a2ec-4d86-9709-7a19e00968c1,d098a04f-c6dc-4c06-a257-14e5c1146d27,65158,TRX065159,DQ-CN01,2025-01-12,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
35b30012-15a0-4274-b0ba-6687ab0ca757,66be7b66-7f11-442b-8041-f1b70eef675e,5984,TRX005985,DQ-CN01,2025-01-13,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
f0b821d7-523d-4ef0-95b0-c4dcc6c598ab,66be7b66-7f11-442b-8041-f1b70eef675e,17780,TRX017781,DQ-CN01,2025-01-13,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
cfeb2a72-05a0-402f-b3dc-67154da203d0,66be7b66-7f11-442b-8041-f1b70eef675e,23765,TRX023766,DQ-CN01,2025-01-13,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
ac3a5999-49ca-4500-877a-c6b4d348884b,66be7b66-7f11-442b-8041-f1b70eef675e,46139,TRX046140,DQ-CN01,2025-01-13,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
ef5b8c8b-61ea-44cc-8254-74eee02d6b58,66be7b66-7f11-442b-8041-f1b70eef675e,93450,TRX093451,DQ-CN01,2025-01-13,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
2f9455db-c56c-48ea-9530-1744bf96072d,6ae37525-4093-4895-a819-373ca3d29470,79215,TRX079216,DQ-CN01,2025-01-14,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
d57d33d2-3732-441d-809f-6c643b41f1d4,d9134d29-35fa-4c87-ba29-d48d675b2029,13426,TRX013427,DQ-CN01,2025-01-15,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
9dc0056d-1534-467d-8c47-7716e646e54e,d9134d29-35fa-4c87-ba29-d48d675b2029,26510,TRX026511,DQ-CN01,2025-01-15,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
df54812f-67b9-4519-bb4a-da0c7f6e4513,d9134d29-35fa-4c87-ba29-d48d675b2029,38378,TRX038379,DQ-CN01,2025-01-15,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
bd5dfc9d-2c4a-4203-b23f-8b8af318eafa,a1bb6390-c254-48fc-9a4a-082e0c229ea0,7815,TRX007816,DQ-CN01,2025-01-16,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
ce7ca95e-aec2-4fb8-9ad1-aad6b9571c2a,a1bb6390-c254-48fc-9a4a-082e0c229ea0,77387,TRX077388,DQ-CN01,2025-01-16,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
b3f1b333-3c64-4b2e-b635-f60e90dc2be9,a1bb6390-c254-48fc-9a4a-082e0c229ea0,88533,TRX088534,DQ-CN01,2025-01-16,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
ed66b2e9-2965-42c2-8b0e-142d57762387,2dd244fb-4736-421a-9aa4-c3808ea4eb34,28276,TRX028277,DQ-CN01,2025-01-17,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
c7226f02-26c2-4094-90f7-90a09aa505cd,2dd244fb-4736-421a-9aa4-c3808ea4eb34,64887,TRX064888,DQ-CN01,2025-01-17,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
a4a66f04-31c1-49ad-8a10-d650581877e4,2dd244fb-4736-421a-9aa4-c3808ea4eb34,74296,TRX074297,DQ-CN01,2025-01-17,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
83ee8a40-b2d2-4174-979b-4ef08c9e9ef5,2dd244fb-4736-421a-9aa4-c3808ea4eb34,74811,TRX074812,DQ-CN01,2025-01-17,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
5b475857-c312-4307-8c55-45725dafabfd,2dd244fb-4736-421a-9aa4-c3808ea4eb34,84011,TRX084012,DQ-CN01,2025-01-17,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
81e17c34-922f-4cfc-acec-7d78f02f6e63,e3030cb1-3c55-481c-b6b0-def5aec1c09b,6706,TRX006707,DQ-CN01,2025-01-18,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
f2bbd6dc-bf6d-4490-bcb0-2c7b276ac12b,e3030cb1-3c55-481c-b6b0-def5aec1c09b,32830,TRX032831,DQ-CN01,2025-01-18,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
cf3b6965-0758-42ed-ad07-f04d2e20d377,e3030cb1-3c55-481c-b6b0-def5aec1c09b,37773,TRX037774,DQ-CN01,2025-01-18,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
5469fb3a-ae82-40ea-be9f-c010c7cba9c7,e3030cb1-3c55-481c-b6b0-def5aec1c09b,53787,TRX053788,DQ-CN01,2025-01-18,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
c150c7bf-dd3c-429e-b642-b1f67a1738bd,e3030cb1-3c55-481c-b6b0-def5aec1c09b,56978,TRX056979,DQ-CN01,2025-01-18,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
76282620-aa5f-4735-9fc5-f559702f965c,e3030cb1-3c55-481c-b6b0-def5aec1c09b,74596,TRX074597,DQ-CN01,2025-01-18,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
dc3238b4-3b94-4b8d-9468-7048a3c5b336,e3030cb1-3c55-481c-b6b0-def5aec1c09b,81498,TRX081499,DQ-CN01,2025-01-18,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
9c9d230e-b77c-4691-a3dc-b7d8da338675,e3030cb1-3c55-481c-b6b0-def5aec1c09b,95183,TRX095184,DQ-CN01,2025-01-18,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
216433e5-31e3-493d-840d-116b3a5a9750,2edbb353-f09d-4665-9839-ebd799a74715,18025,TRX018026,DQ-CN01,2025-01-19,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
91088b3f-427b-42d4-8ade-61a22fac585d,2edbb353-f09d-4665-9839-ebd799a74715,29343,TRX029344,DQ-CN01,2025-01-19,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
ca8397ff-3ff1-43c4-80d8-ecfe11eeff57,2edbb353-f09d-4665-9839-ebd799a74715,32307,TRX032308,DQ-CN01,2025-01-19,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
081e7dda-b58b-4dbc-ad5d-dcc85e26cf11,2edbb353-f09d-4665-9839-ebd799a74715,37027,TRX037028,DQ-CN01,2025-01-19,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
2ea5210f-93ce-4142-8eda-f64e74dc2235,2edbb353-f09d-4665-9839-ebd799a74715,37143,TRX037144,DQ-CN01,2025-01-19,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
e305865d-0977-498e-b3d3-718e5f5bdb5a,2edbb353-f09d-4665-9839-ebd799a74715,53626,TRX053627,DQ-CN01,2025-01-19,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
2b4498b0-ca3d-4642-9487-217ce121f197,2edbb353-f09d-4665-9839-ebd799a74715,70323,TRX070324,DQ-CN01,2025-01-19,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
661ff9bb-77a9-4652-98e6-ec434400e94d,2edbb353-f09d-4665-9839-ebd799a74715,96126,TRX096127,DQ-CN01,2025-01-19,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
594b64a3-cfb6-4108-bc34-c6bff4d18f42,e0cedfa3-4246-4f02-b71a-3f59819f6368,4662,TRX004663,DQ-CN01,2025-01-20,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
440abb2e-4eee-404e-afe7-e97dd5f80afb,e0cedfa3-4246-4f02-b71a-3f59819f6368,35909,TRX035910,DQ-CN01,2025-01-20,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
3491f5ae-4679-4671-b6d1-074fb08080e6,e0cedfa3-4246-4f02-b71a-3f59819f6368,38244,TRX038245,DQ-CN01,2025-01-20,FAIL,High,,NOT NULL,Customer ID does not exist in customer master.
