product_id,product_name,category,subcategory,brand,unit_cost,list_price
PRD00001,Lenovo Smartphones 0001,Electronics,Smartphones,Lenovo,3975915.72,5645402.73
PRD00002,ASUS Accessories 0002,Electronics,Accessories,ASUS,7516735.17,9004297.06
PRD00003,Apple Accessories 0003,Electronics,Accessories,Apple,6899513.14,9452333.0
PRD00004,ASUS Accessories 0004,Electronics,Accessories,ASUS,4751486.81,6844516.75
PRD00005,Xiaomi Laptops 0005,Electronics,Laptops,Xiaomi,3866209.6,4877610.03
PRD00006,Samsung Laptops 0006,Electronics,Laptops,Samsung,3329981.16,4429873.94
PRD00007,Apple Audio 0007,Electronics,Audio,Apple,4368284.46,5677459.31
PRD00008,Samsung Smartphones 0008,Electronics,Smartphones,Samsung,6461861.13,7528714.4
PRD00009,Xiaomi Laptops 0009,Electronics,Laptops,Xiaomi,4566651.4,5833440.5
PRD00010,Samsung Audio 0010,Electronics,Audio,Samsung,4844207.99,6844381.47
PRD00011,Apple Smartphones 0011,Electronics,Smartphones,Apple,1567773.24,2289262.49
PRD00012,Apple Audio 0012,Electronics,Audio,Apple,5550963.13,7287859.49
PRD00013,Xiaomi Audio 0013,Electronics,Audio,Xiaomi,3669401.6,5615652.21
PRD00014,Lenovo Audio 0014,Electronics,Audio,Lenovo,1816964.54,2263756.12
PRD00015,Apple Laptops 0015,Electronics,Laptops,Apple,2970145.81,3686247.96
PRD00016,ASUS Accessories 0016,Electronics,Accessories,ASUS,5682924.49,6814963.05
PRD00017,Samsung Audio 0017,Electronics,Audio,Samsung,1997183.46,2568377.93
PRD00018,Samsung Smartphones 0018,Electronics,Smartphones,Samsung,565724.54,669195.56
PRD00019,ASUS Audio 0019,Electronics,Audio,ASUS,2063097.66,2536784.88
PRD00020,Samsung Smartphones 0020,Electronics,Smartphones,Samsung,2228943.72,2690335.07
PRD00021,Lenovo Accessories 0021,Electronics,Accessories,Lenovo,6877932.32,9622227.32
PRD00022,Xiaomi Laptops 0022,Electronics,Laptops,Xiaomi,6278374.74,7253406.34
PRD00023,Samsung Accessories 0023,Electronics,Accessories,Samsung,2333512.94,3011165.1
PRD00024,Xiaomi Accessories 0024,Electronics,Accessories,Xiaomi,1842335.02,2734025.17
PRD00025,Apple Smartphones 0025,Electronics,Smartphones,Apple,1345422.7,1558537.66
PRD00026,Lenovo Audio 0026,Electronics,Audio,Lenovo,7673066.01,10792934.65
PRD00027,Samsung Smartphones 0027,Electronics,Smartphones,Samsung,7133806.53,10681448.52
PRD00028,Xiaomi Audio 0028,Electronics,Audio,Xiaomi,7261770.66,8809253.99
PRD00029,Apple Audio 0029,Electronics,Audio,Apple,3632324.31,5151362.34
PRD00030,ASUS Accessories 0030,Electronics,Accessories,ASUS,3223754.86,4813388.38
PRD00031,Samsung Accessories 0031,Electronics,Accessories,Samsung,2708603.4,3428008.46
PRD00032,Samsung Laptops 0032,Electronics,Laptops,Samsung,3467897.53,4899098.84
PRD00033,ASUS Accessories 0033,Electronics,Accessories,ASUS,3663707.2,4370069.95
PRD00034,Samsung Smartphones 0034,Electronics,Smartphones,Samsung,6581081.78,8952903.65
PRD00035,Lenovo Accessories 0035,Electronics,Accessories,Lenovo,2696913.16,3190987.65
PRD00036,Xiaomi Accessories 0036,Electronics,Accessories,Xiaomi,4558909.57,5416440.46
PRD00037,Samsung Laptops 0037,Electronics,Laptops,Samsung,5086716.21,6802974.26
PRD00038,Samsung Laptops 0038,Electronics,Laptops,Samsung,1338152.98,1632279.01
PRD00039,Xiaomi Accessories 0039,Electronics,Accessories,Xiaomi,3402363.95,4842924.85
PRD00040,Samsung Smartphones 0040,Electronics,Smartphones,Samsung,7649160.49,11945693.94
PRD00041,Lenovo Accessories 0041,Electronics,Accessories,Lenovo,4231237.17,4992859.86
PRD00042,ASUS Smartphones 0042,Electronics,Smartphones,ASUS,7700728.27,11334701.94
PRD00043,ASUS Accessories 0043,Electronics,Accessories,ASUS,2499159.97,3920682.16
PRD00044,Xiaomi Laptops 0044,Electronics,Laptops,Xiaomi,5932348.76,8326051.48
PRD00045,ASUS Smartphones 0045,Electronics,Smartphones,ASUS,1713932.38,2558901.04
PRD00046,ASUS Audio 0046,Electronics,Audio,ASUS,6280863.8,9269926.88
PRD00047,Lenovo Accessories 0047,Electronics,Accessories,Lenovo,647238.02,978947.51
PRD00048,Apple Accessories 0048,Electronics,Accessories,Apple,7198970.64,9113176.93
PRD00049,Xiaomi Smartphones 0049,Electronics,Smartphones,Xiaomi,3629604.59,4200541.39
PRD00050,ASUS Audio 0050,Electronics,Audio,ASUS,6073286.29,8332548.79
PRD00051,Apple Smartphones 0051,Electronics,Smartphones,Apple,4720148.58,6119200.62
PRD00052,Samsung Smartphones 0052,Electronics,Smartphones,Samsung,2261491.29,3184179.74
PRD00053,Lenovo Smartphones 0053,Electronics,Smartphones,Lenovo,2899199.49,4417510.26
PRD00054,Apple Laptops 0054,Electronics,Laptops,Apple,6380896.83,8606553.64
PRD00055,Apple Smartphones 0055,Electronics,Smartphones,Apple,3322665.19,4443400.16
PRD00056,Lenovo Laptops 0056,Electronics,Laptops,Lenovo,6666487.15,9471078.29
PRD00057,ASUS Laptops 0057,Electronics,Laptops,ASUS,5652408.68,7228865.46
PRD00058,Samsung Accessories 0058,Electronics,Accessories,Samsung,2359313.19,2969903.44
PRD00059,Apple Smartphones 0059,Electronics,Smartphones,Apple,6680579.74,10640159.35
PRD00060,ASUS Accessories 0060,Electronics,Accessories,ASUS,7523893.95,10562794.72
PRD00061,Xiaomi Laptops 0061,Electronics,Laptops,Xiaomi,2423201.83,2854289.44
PRD00062,Xiaomi Accessories 0062,Electronics,Accessories,Xiaomi,5733348.43,7865580.71
PRD00063,Xiaomi Audio 0063,Electronics,Audio,Xiaomi,7212360.15,11342878.81
PRD00064,ASUS Audio 0064,Electronics,Audio,ASUS,269232.21,389148.24
PRD00065,Lenovo Audio 0065,Electronics,Audio,Lenovo,4385954.48,5610074.38
PRD00066,Lenovo Laptops 0066,Electronics,Laptops,Lenovo,5645770.42,7988765.14
PRD00067,Samsung Smartphones 0067,Electronics,Smartphones,Samsung,2623694.74,4058331.02
PRD00068,Lenovo Smartphones 0068,Electronics,Smartphones,Lenovo,6288736.46,9283432.76
PRD00069,Samsung Accessories 0069,Electronics,Accessories,Samsung,5315312.54,6473519.14
PRD00070,ASUS Audio 0070,Electronics,Audio,ASUS,3457707.55,5507436.59
PRD00071,ASUS Audio 0071,Electronics,Audio,ASUS,1879558.76,2808436.7
PRD00072,Apple Laptops 0072,Electronics,Laptops,Apple,5113869.38,6474670.02
PRD00073,Lenovo Laptops 0073,Electronics,Laptops,Lenovo,3061887.82,3760916.81
PRD00074,Apple Accessories 0074,Electronics,Accessories,Apple,2878639.99,4482042.46
PRD00075,Lenovo Audio 0075,Electronics,Audio,Lenovo,4041389.57,4749441.02
PRD00076,Apple Accessories 0076,Electronics,Accessories,Apple,1780770.07,2589773.91
PRD00077,Xiaomi Accessories 0077,Electronics,Accessories,Xiaomi,2800950.07,4331389.19
PRD00078,Lenovo Audio 0078,Electronics,Audio,Lenovo,4743037.91,5464928.28
PRD00079,Samsung Laptops 0079,Electronics,Laptops,Samsung,1709892.61,2266120.68
PRD00080,ASUS Audio 0080,Electronics,Audio,ASUS,4059983.09,6016894.94
PRD00081,ASUS Accessories 0081,Electronics,Accessories,ASUS,2906518.53,4448717.26
PRD00082,Xiaomi Accessories 0082,Electronics,Accessories,Xiaomi,2580405.53,3338528.67
PRD00083,Apple Laptops 0083,Electronics,Laptops,Apple,4213059.09,6352871.8
PRD00084,Lenovo Audio 0084,Electronics,Audio,Lenovo,4706251.67,6400502.27
PRD00085,Adidas Women's Wear 0085,Fashion,Women's Wear,Adidas,985182.44,1523880.2
PRD00086,Adidas Footwear 0086,Fashion,Footwear,Adidas,1040851.58,1497473.17
