transaction_id,transaction_date,customer_id,product_id,store_id,region_id,quantity,unit_price,discount_pct,sales_amount,payment_method,order_status
TRX000001,2025-07-26,CUS02938,PRD00250,STR012,REG004,6,206438.41,11.12,1100894.75,Bank Transfer,Processing
TRX000002,2025-08-20,CUS01261,PRD00464,STR028,REG004,20,-39269.77,19.07,10954904.28,Bank Transfer,Completed
TRX000003,2025-12-19,CUS11560,PRD00477,STR018,REG002,1,58072.64,28.18,41707.77,Cash,Cancelled
TRX000004,2025-04-05,CUS13657,PRD00471,STR019,REG003,16,357170.13,6.31,5354123.12,Bank Transfer,Completed
TRX000005,2025-07-22,CUS07846,PRD00351,STR016,REG008,3,1564563.32,13.6,4055348.13,Bank Transfer,Pending
TRX000006,2025-05-11,CUS07014,PRD00439,STR011,REG003,6,57759.01,16.9,287986.42,Cash,Completed
TRX000007,2025-01-03,CUS01824,PRD00342,STR022,REG006,8,2045758.56,12.21,14367771.52,Bank Transfer,Completed
TRX000008,2025-06-29,CUS02197,PRD00311,STR018,REG002,8,579336.73,29.78,3254482.01,Cash,Processing
TRX000009,2025-10-16,CUS05810,PRD00272,STR010,REG002,1,2471549.54,18.04,2025682.0,Bank Transfer,Completed
TRX000010,2025-07-20,CUS05439,PRD00081,STR016,REG008,2,4448717.26,19.0,7206921.96,Cash,Completed
TRX000011,2025-02-05,CUS14843,PRD00407,STR027,REG003,8,2055711.14,25.48,12255327.53,Debit Card,Completed
TRX000012,2025-03-31,CUS06809,PRD00176,STR008,REG008,17,79790.69,18.2,832177.0,Bank Transfer,Pending
TRX000013,2025-01-19,CUS11418,PRD00079,STR001,REG001,1,2266120.68,9.47,2051519.05,E-Wallet,Processing
TRX000014,2025-06-08,CUS14493,PRD00018,STR019,REG003,11,669195.56,29.42,5195500.49,Credit Card,Pending
TRX000015,2025-07-13,CUS01720,PRD00304,STR027,REG003,20,3866753.32,0.25,77141728.73,Credit Card,Cancelled
TRX000016,2025-11-20,CUS02448,PRD00385,STR007,REG007,7,1923185.11,9.69,12157799.31,Cash,Completed
TRX000017,2025-01-03,CUS10134,PRD00073,STR013,REG005,2,3760916.81,12.34,6593639.35,Credit Card,Cancelled
TRX000018,2025-02-19,CUS11945,PRD00413,STR027,REG003,9,2360239.89,6.66,19827431.22,Credit Card,Completed
TRX000019,2025-02-22,CUS05205,PRD00282,STR004,REG004,1,2148909.75,6.9,2000634.98,Credit Card,Cancelled
TRX000020,2025-10-16,CUS01021,PRD00308,STR016,REG008,20,3157148.09,2.97,61267615.83,Bank Transfer,Processing
TRX000021,2025-04-06,CUS04286,PRD00275,STR027,REG003,13,1982426.49,20.94,20374982.98,Cash,Processing
TRX000022,2025-12-07,CUS05698,PRD00374,STR029,REG005,3,1038226.5,20.23,2484579.84,Debit Card,Pending
TRX000023,2025-11-27,CUS04618,PRD00042,STR004,REG004,6,11334701.94,23.27,52182700.79,E-Wallet,Processing
TRX000024,2025-08-17,CUS07491,PRD00044,STR024,REG008,7,8326051.48,19.66,46824048.31,Bank Transfer,Completed
TRX000025,2025-08-06,CUS09916,PRD00408,STR029,REG005,5,727287.57,28.86,2586961.89,Cash,Cancelled
TRX000026,2025-11-12,CUS04720,PRD00140,STR015,REG007,18,1196945.73,2.83,20935298.99,Cash,Completed
TRX000027,2025-11-21,CUS04540,PRD00101,STR009,REG001,7,1755632.22,28.2,8823807.54,Cash,Completed
TRX000028,2025-04-24,CUS08488,PRD00216,STR029,REG005,17,46065.87,1.12,774348.85,E-Wallet,Cancelled
TRX000029,2025-06-24,CUS14218,PRD00053,STR026,REG002,19,4417510.26,8.49,76806809.14,Bank Transfer,Cancelled
TRX000030,2025-04-12,CUS00248,PRD00452,STR007,REG007,18,209045.96,9.09,3420786.28,Debit Card,Pending
TRX000031,2025-07-27,CUS03356,PRD00320,STR011,REG003,19,2057435.85,22.07,30463835.4,Credit Card,Processing
TRX000032,2025-12-06,CUS03930,PRD00448,STR012,REG004,18,189751.08,19.1,2763155.23,Cash,Cancelled
TRX000033,2025-06-05,CUS03140,PRD00345,STR002,REG002,20,2591417.86,22.01,40420935.78,Bank Transfer,Cancelled
TRX000034,2025-03-19,CUS00593,PRD00032,STR015,REG007,8,4899098.84,28.78,27913105.55,Credit Card,Processing
TRX000035,2025-05-11,CUS10677,PRD00158,STR002,REG002,18,324571.48,17.27,4833323.74,Bank Transfer,Processing
TRX000036,2025-07-08,CUS11753,PRD00146,STR027,REG003,19,325826.11,23.0,4766835.99,E-Wallet,Cancelled
TRX000037,2025-03-15,CUS01182,PRD00358,STR018,REG002,5,2007098.81,21.79,7848759.9,Debit Card,Completed
TRX000038,2025-02-28,CUS00118,PRD00226,STR002,REG002,6,198399.61,10.74,1062548.95,Cash,Pending
TRX000039,2025-01-31,CUS11480,PRD00372,STR023,REG007,16,1097438.71,29.34,12407203.08,Credit Card,Cancelled
TRX000040,2025-09-17,CUS13411,PRD00336,STR021,REG005,5,2961176.37,7.59,13682115.42,Cash,Pending
TRX000041,2025-11-10,CUS08149,PRD00328,STR019,REG003,1,417895.64,18.66,339916.31,Bank Transfer,Completed
TRX000042,2025-09-07,CUS00541,PRD00214,STR004,REG004,11,174288.27,24.37,1449956.4,Bank Transfer,Pending
TRX000043,2025-04-09,CUS13506,PRD00142,STR013,REG005,7,1145800.49,11.13,7127910.27,Bank Transfer,Completed
